,first_language,funding,school,fast_track,coop,residency,gender,prev_education,age_group,english_grade,first_term_gpa,second_term_gpa,high_school_average_mark,math_score
250,3,4,6,1,2,2,1,2,3,8,3.409091,2.37037,83.51,43.46
251,3,2,6,1,1,1,2,2,4,10,4.18,4.152174,89.49,46.12
252,3,2,6,2,2,1,2,1,1,8,3.954545,3.045455,83.0,35.0
253,1,2,6,2,1,1,2,1,4,9,4.38,4.272727,73.0,31.0
254,3,4,6,2,2,2,2,1,3,10,3.0,3.45,84.04,44.26
255,3,2,6,2,1,1,1,2,3,10,3.4,3.4,91.0,33.0
256,3,4,6,1,2,2,1,2,4,8,3.217391,3.25,83.65,41.84
257,3,2,6,2,2,1,2,2,4,8,3.145833,1.619048,75.26,38.0
258,1,2,6,2,2,1,2,1,1,9,2.98,2.6,73.0,28.0
259,1,2,6,2,2,1,2,1,1,9,3.131579,1.25,73.0,20.0
260,3,4,6,2,1,2,2,1,4,8,3.909091,3.159091,87.12,49.0
261,3,4,6,2,2,2,2,2,1,8,4.090909,3.840909,87.07,45.0
262,1,2,6,2,2,1,1,2,4,8,4.176471,4.214286,79.0,40.37
263,1,2,6,2,1,1,2,1,1,7,3.026316,2.291667,72.0,25.0
264,3,2,6,2,2,1,1,2,3,8,3.619048,4.041667,87.06,45.42
265,3,4,6,1,1,2,2,1,3,8,0.26087,2.318182,72.99,43.0
266,1,2,6,2,2,1,2,1,1,9,3.54,2.142857,75.0,31.0
267,1,8,6,1,2,1,2,2,7,10,3.611111,3.851852,87.46,39.23
268,3,4,6,1,2,2,2,2,3,8,0.0,0.027426469999999998,69.45,33.12
269,1,2,6,2,1,1,2,1,1,9,3.56,3.7,91.0,46.0
270,2,2,6,2,1,1,1,1,1,8,2.0431646599999995,2.1191746500000006,80.0,23.0
271,3,4,6,1,2,2,2,1,3,8,3.475,3.045455,85.6,42.16
272,1,2,6,2,1,1,2,1,1,9,3.145833,2.5,86.0,28.0
273,3,4,6,1,2,2,2,1,3,8,3.705882,3.673913,88.47,46.09
274,1,2,6,2,1,1,2,1,1,9,3.840909,4.26087,92.0,40.4
275,3,4,6,1,1,2,2,1,3,8,0.714286,0.0,69.24,35.7
276,3,4,6,2,2,2,2,2,3,8,3.825,3.225,82.82,40.1
277,3,4,6,1,2,2,2,2,3,10,3.5,4.02,88.1,43.42
278,3,4,6,2,2,2,1,1,3,8,4.130435,4.02381,90.72,42.0
279,3,4,6,1,1,2,2,1,3,8,2.921053,2.0,81.01,42.97
280,3,4,6,2,1,2,2,1,5,9,3.5,3.911765,77.19,35.0
281,1,2,6,2,2,1,2,1,1,7,1.94,2.5,69.0,36.0
282,1,2,6,2,2,1,2,1,1,9,3.5,2.934783,91.0,28.0
283,1,2,6,2,2,1,2,1,1,9,2.8,2.58440868,76.0,23.0
284,1,8,6,2,2,1,2,0,6,9,2.97619,3.363636,71.46,30.0
285,3,4,6,2,2,2,1,1,3,3,4.086957,3.590909,85.54,43.08
286,3,4,6,2,2,2,2,1,2,10,4.285714,3.886364,88.49,44.0
287,1,2,6,2,1,1,2,2,1,7,2.852941,2.880952,83.0,25.0
288,1,2,6,2,2,1,2,0,1,9,2.404762,2.041667,64.0,20.79
289,3,4,6,1,2,2,2,1,3,7,3.055556,3.480769,84.71,43.46
290,1,2,6,2,1,1,2,1,2,9,2.7,1.815789,78.0,32.0
291,3,4,6,1,2,2,1,1,4,9,3.666667,3.58,87.52,45.06
292,3,4,6,2,2,2,1,1,2,8,2.847826,3.428571,79.02,32.0
293,1,2,6,2,1,1,1,2,3,9,2.921053,3.846154,93.0,43.0
294,3,4,6,2,2,2,2,2,3,4,2.880952,2.666667,76.2,37.0
